PhoneNumber,name,email
85255301234,test01,awsoscaryuen@gmail.com
85255301235,test02,awsoscar6yuen@gmail.com
85255301236,test03,aws8oscaryuen@gmail.com
85255301237,test04,aws9oscaryuen@gmail.com
85255301238,test05,aws10oscaryuen@gmail.com
85255301239,test06,aws11oscaryuen@gmail.com
85255301240,test07,aws12oscaryuen@gmail.com
85255301241,test08,aws13oscaryuen@gmail.com
85255301242,test09,aws14oscaryuen@yahoo.com
85255301243,test10,aws15oscaryuen@yahoo.com
85255301244,test11,aws16oscaryuen@yahoo.com
85255301245,test12,aws17oscaryuen@yahoo.com
85255301246,test13,aws18oscaryuen@yahoo.com
85255301247,test14,aws19oscaryuen@yahoo.com
